Артикул;Состояние;Цена;Количество;Сокет;Название;Максимальная мощность охлаждения;Питание;Подсветка;Фото
6001;среднее;500;3;775;Intel;65;3;;775_intel_65_3.jpg
6002;среднее;1000;2;775;Intel;75;4;;775_intel_75_4.jpg
6003;хорошее;1000;2;775;Intel;65;3;;775_intel_65_3.jpg
6004;хорошее;1500;1;775;Intel;75;4;;775_intel_75_4.jpg
6005;среднее;1500;1;775, 1156, 1155, 1150;Deep Cool;65;3;;deep-cool_blue_2.jpg
6006;хорошее;2000;2;775, 1156, 1155, 1150;Deep Cool;65;3;;deep-cool_black_1.jpg
6007;отличное;6500;1;775, 1156, 1155, 1151, 1150, 1200, FM1, FM2(+), AM2(+), AM3(+), AM4;ID-COOLING SE-213 v2;120;4;;
6008;хорошее;2000;1;1156, 1155, 1151, 1150, FM1, FM2(+), AM2(+), AM3(+), AM4;ID-COOLING DK-01T;50;3;;id-cooling-dk-01t.jpg
6009;среднее;1500;1;1156, 1155, 1150;PC Cooler;80;3;;pc-cooler_e80.jpg
6010;хорошее;2000;1;1156, 1155, 1150;Deep Cool;80;3;;deep-cool_blue_4.jpg
6011;хорошее;2000;1;1156, 1155, 1150;Deep Cool;80;4;;deep-cool_blue_3.jpg
6012;хорошее;2500;1;775, 1156, 1155, 1150, FM1, FM2(+), AM2(+), AM3(+), AM4;ID-COOLING;70;3;;
6013;новое;3000;2;775, 1156, 1155, 1150, FM1, FM2(+), AM2(+), AM3(+), AM4;Deep Cool GAMMA ARCHER;80;3;;gamma-archer.jpg
6014;отличное;4000;1;775, 1156, 1155, 1150, FM1, FM2(+), AM2(+), AM3(+), AM4;AeroCool;70;3;+;aerocool.jpg
6015;новое;5000;1;FM1, FM2(+), AM2(+), AM3(+), AM4;ID-COOLING DK-03A;95;4;+;id-cooling-dk-03a-rgb.jpg
6016;новое;5000;1;775, 1156, 1155, 1151, 1150, 1366, AM2(+), AM3(+);COOLMOON Q2;70;3;+;coolmoon_q2.jpg
6017;новое;6000;1;775, 1156, 1155, 1151, 1150, 1366;WOVIBO NEW-UFO;80;3;+;wovibo_ufo.jpg
