Артикул;Название;Состояние;Цена;Количество;Сокет;Ядер/потоков;Тактовая частота;Частота системной шины;Объем кэш-памяти;Мощность тепловыделения;CPU-Z;Cinebench15;Фото
0001;Celeron;хорошее;600;1;478;1/1;2;400;0.128;53;;;478_celeron_2.jpg
0002;Celeron D320;хорошее;700;1;478;1/1;2.4;533;0.256;73;;;478_celeron_d320.jpg
0003;Celeron D325;хорошее;800;1;478;1/1;2.53;533;0.256;73;35;;478_celeron_d325.jpg
0004;Celeron D335;хорошее;900;1;478;1/1;2.8;533;0.256;84;;;478_celeron_d335.jpg
0005;Pentium 4 506;хорошее;1700;3;775;1/1;2.66;533;1;84;;;775_pentium4_506.jpg
0006;Pentium 4 511;хорошее;1800;1;775;1/1;2.8;533;1;84;;;775_pentium4_511.jpg
0007;Pentium 805;хорошее;1800;2;775;1/1;2.66;533;2;84;;;775_pentium4_805.jpg
0008;Celeron 430;хорошее;1900;1;775;1/1;1.8;800;0.512;35;;;775_celeron_430.jpg
0009;Celeron D346;хорошее;2000;4;775;1/1;3.06;533;0.256;84;;;775_celeron_d346.jpg
0010;Pentium 4;хорошее;2100;1;775;1/1;3;800;1;84;;;775_pentium4_3.jpg
0011;Pentium 4 631;хорошее;2100;1;775;1/2;3;800;2;84;69;;775_pentium4_631.jpg
0012;Core 2 Duo 4400;хорошее;2200;1;775;2/2;2;800;2;65;;;775_core2duo_4400.jpg
0013;Core 2 Duo E4500;хорошее;2300;1;775;2/2;2.2;800;2;65;;;775_core2duo_e4500.jpg
0014;Celeron Dual-Core E1500;хорошее;2300;1;775;2/2;2.2;800;0.512;65;;;775_celeron_dual-core_e1500.jpg
0015;Celeron E3200;хорошее;2400;1;775;2/2;2.4;800;1;65;;;775_celeron_e3200.jpg
0016;Celeron E3300;хорошее;2400;2;775;2/2;2.5;800;1;65;;;775_celeron_e3300.jpg
0017;Celeron E3400;хорошее;2500;1;775;2/2;2.6;800;1;65;;;775_celeron_e3400.jpg
0018;Pentium Dual-Core E2160;хорошее;2600;1;775;2/2;1.8;800;1;65;;;775_pentium_dual-core_e2160.jpg
0019;Pentium Dual-Core E2180;хорошее;2600;1;775;2/2;2;800;1;65;;;775_pentium_dual-core_e2180.jpg
0020;Pentium Dual-Core E5200;хорошее;2700;2;775;2/2;2.5;800;2;65;449;125;775_pentium_dual-core_e5200.jpg
0021;Pentium Dual-Core E5300;хорошее;2800;3;775;2/2;2.6;800;2;65;455;126;775_pentium_dual-core_e5300.jpg
0022;Pentium Dual-Core E5400;хорошее;2900;1;775;2/2;2.7;800;2;65;;;775_pentium_dual-core_e5400.jpg
0023;Pentium E6300;хорошее;3000;1;775;2/2;2.8;1066;2;65;429;;775_pentium_e6300.jpg
0024;Core 2 Duo E6550;хорошее;3300;1;775;2/2;2.33;1333;4;65;;;775_core2duo_e6550.jpg
0025;Core 2 Duo E6750;хорошее;3500;1;775;2/2;2.66;1333;4;65;472;130;775_core2duo_e6750.jpg
0026;Core 2 Duo E8200;хорошее;3800;1;775;2/2;2.66;1333;6;65;467;141;775_core2duo_e8200.jpg
0027;Core 2 Duo E7400;хорошее;3800;1;775;2/2;2.8;1066;3;65;496;142;775_core2duo_e7400.jpg
0028;Pentium E6600;хорошее;4000;1;775;2/2;3.06;1066;2;65;546;147;775_pentium_e6600.jpg
0029;Core 2 Duo E8500;хорошее;6000;1;775;2/2;3.16;1333;6;65;558;169;775_core2duo_e8500.jpg
0030;Core 2 Quad Q8400;хорошее;9000;1;775;4/4;2.66;1333;4;65;951;271;775_core2quad_q8400.jpg
0031;Core 2 Quad Q9500;хорошее;10000;1;775;4/4;2.83;1333;6;65;979;302;
0032;Core i3-540;отличное;6000;2;1156;2/4;3.06;1066/1333;4;73;670;;1156_i3-540.jpg
0033;Celeron G1620;отличное;4000;1;1155;2/2;2.7;1333;2;55;518;176;1155_celeron_g1620.jpg
0034;Pentium G630;отличное;5000;1;1155;2/2;2.7;1066;3;55;542;178;1155_pentium_g630.jpg
0035;Pentium G2020;отличное;5500;1;1155;2/2;2.9;1333;3;55;601;200;1155_pentium_g2020.jpg
0036;Pentium G2030;отличное;6000;1;1155;2/2;3;1333;3;55;620;204;1155_pentium_g2030.jpg
0037;Pentium G2120;отличное;6500;1;1155;2/2;3.1;1333;3;55;632;211;1155_pentium_g2120.jpg
0038;Core i3-2100;отличное;10000;1;1155;2/4;3.1;1066/1333;3;65;761;265;1155_i3-2100.jpg
0039;Core i3-2120;отличное;11000;1;1155;2/4;3.3;1333;3;65;812;281;1155_i3-2120.jpg
0040;Core i3-3220;отличное;12000;1;1155;2/4;3.3;1333/1600;3;65;840;290;1155_i3-3220.jpg
0041;Core i5-2320;отличное;15000;1;1155;4/4;3;1066/1333;6;95;;;1155_i5-2320.jpg
0042;Core i5-2400;отличное;16000;1;1155;4/4;3.1;1066/1333;6;95;1240;421;1155_i5-2400.jpg
0043;Core i5-3450;отличное;18000;1;1155;4/4;3.1;1333/1600;6;77;1350;457;1155_i5-3450.jpg
0044;Celeron G1820;отличное;5500;1;1150;2/2;2.7;1333;2;53;594;199;1150_celeron_g1820.jpg
0045;Sempron 3000+;хорошее;1000;1;AM2;1/1;2;;0.512;62;;;am2_sempron_3000.jpg
0046;Athlon 64 3200+;хорошее;1200;1;AM2;1/1;2;;0.512;62;;;am2_athlon64_3200.jpg
0047;Athlon 64 3500+;хорошее;1500;1;AM2;1/1;2.2;;0.512;67;;;am2_athlon64_3500.jpg
0048;Pentium E6700;хорошее;4500;1;775;2/2;3.2;1066;2;65;560;160;775_pentium_e6700.jpg
0049;Pentium G3220;хорошее;7500;1;1150;2/2;3;1333;3;53;651;220;1150_pentium_g3220.jpg
