Артикул;Состояние;Цена;Количество;Платформа;Тип;Объем;Частота;Бренд;Фото
2001;хорошее;300;3;компьютер;DDR;128 МБ;;;ddr.jpg
2002;хорошее;500;1;компьютер;DDR;256 МБ;266;;ddr.jpg
2003;хорошее;500;1;компьютер;DDR;256 МБ;333;;ddr.jpg
2004;хорошее;600;3;компьютер;DDR;256 МБ;400;;ddr.jpg
2005;хорошее;700;2;компьютер;DDR;256 МБ;400;Hynix;ddr_hynix.jpg
2006;хорошее;700;3;компьютер;DDR;256 МБ;400;Samsung;ddr_samsung.jpg
2007;хорошее;700;2;компьютер;DDR;256 МБ;400;pqi;ddr_pqi.jpg
2008;хорошее;1400;1;компьютер;DDR;512 МБ;400;;ddr.jpg
2009;хорошее;1500;2;компьютер;DDR;512 МБ;400;Kingston;ddr_kingston.jpg
2010;хорошее;1500;3;компьютер;DDR;512 МБ;400;pqi;ddr_pqi.jpg
2011;хорошее;500;3;компьютер;DDR2;256 МБ;533;;ddr2.jpg
2012;хорошее;500;1;компьютер;DDR2;256 МБ;667;Kingston;ddr2_kingston.jpg
2013;хорошее;1000;2;компьютер;DDR2;512 МБ;533;;ddr2.jpg
2014;хорошее;1000;1;компьютер;DDR2;512 МБ;667;Transcend;ddr2_transcend.jpg
2015;хорошее;1500;1;компьютер;DDR2;1 ГБ;553;pqi;ddr2_pqi.jpg
2016;хорошее;1500;3;компьютер;DDR2;1 ГБ;667;;ddr2.jpg
2017;отличное;1750;2;компьютер;DDR2;1 ГБ;800;Silicon Power;ddr2_silicon-power.jpg
2018;отличное;1750;4;компьютер;DDR2;1 ГБ;800;pqi;ddr2_pqi.jpg
2019;хорошее;1750;1;компьютер;DDR2;1 ГБ;800;Patriot;ddr2_patriot.jpg
2020;отличное;1750;3;компьютер;DDR2;1 ГБ;800;Transcend;ddr2_transcend.jpg
2021;хорошее;2000;2;компьютер;DDR2;1 ГБ;800;OCZ;ddr2_ocz.jpg
2022;хорошее;3000;2;компьютер;DDR2;2 ГБ;800;;ddr2.jpg
2023;отличное;4000;2;компьютер;DDR3;2 ГБ;1333;Transcend;ddr3_transcend.jpg
2024;отличное;4000;2;компьютер;DDR3;2 ГБ;1333;pqi;ddr3_pqi.jpg
2025;отличное;4000;7;компьютер;DDR3;2 ГБ;1333;Kingston;ddr3_kingston.jpg
2026;отличное;4500;2;компьютер;DDR3;2 ГБ;1333;Adata;ddr3_adata_game.jpg
2027;хорошее;4000;1;компьютер;DDR3;2 ГБ;1333;Zeppelin;ddr3_zeppelin.jpg
2028;отличное;4000;1;компьютер;DDR3;2 ГБ;1333;Geil;ddr3_geil.jpg
2029;отличное;7500;2;компьютер;DDR3;4 ГБ;1333;Atermiter;ddr3_atermiter.jpg
2030;хорошее;7500;1;компьютер;DDR3;4 ГБ;1333;SpecTek;ddr3_spec-tek.jpg
2031;отличное;8000;1;компьютер;DDR3;4 ГБ;1333;Geil;ddr3_geil.jpg
2032;отличное;8000;1;компьютер;DDR3;4 ГБ;1333;Team Group;ddr3_team-group.jpg
2033;отличное;8000;3;компьютер;DDR3;4 ГБ;1333;Virivi;ddr3_virivi.jpg
2034;новое;8500;2;компьютер;DDR3;4 ГБ;1333;Virivi;ddr3_virivi.jpg
2035;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;ADATA;ddr3_adata.jpg
2036;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;Tanbassh;ddr3_tanbassh.jpg
2037;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;Transcend;ddr3_transcend.jpg
2038;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;AMD;ddr3_amd.jpg
2039;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;hynix;ddr3_hynix.jpg
2040;отличное;8500;1;компьютер;DDR3;4 ГБ;1600;Team Group;ddr3_team-group.jpg
2041;новое;14000;1;компьютер;DDR3;8 ГБ;1333;Virivi;ddr3_virivi.jpg
2042;новое;14500;2;компьютер;DDR3;8 ГБ;1600;Virivi;ddr3_virivi.jpg
2043;отличное;500;1;ноутбук;DDR2;256 МБ;533;ProMOS;ddr2_nb_promos.jpg
2044;отличное;1000;1;ноутбук;DDR2;512 МБ;667;Nanya;ddr2_nb_nanya.jpg
2045;отличное;8000;1;ноутбук;DDR3;4 ГБ;1600;Kingston;
2046;отличное;8000;1;ноутбук;DDR3;4 ГБ;1600;ADATA;ddr3_nb_adata.jpg
2047;отличное;14000;1;ноутбук;DDR3;8 ГБ;1600;Kingston;ddr3_nb_kingston.jpg
2048;отличное;16000;1;ноутбук;DDR4;8 ГБ;2666;Tanbassh;ddr4_nb_tanbassh.jpg
2049;отличное;3000;1;компьютер;DDR2;2 ГБ;800;Transcend;ddr2_transcend.jpg
